Secuencia;Balota1;Balota2;Balota3;Balota4;Balota5;Super Balota
430;10;17;24;29;43;14
431;10;18;19;36;43;13
432;10;18;21;24;43;16
433;11;12;39;40;43;1
434;11;21;27;41;43;12
435;11;21;33;39;43;8
436;12;19;20;29;43;1
437;13;15;18;26;43;3
438;14;27;34;37;43;13
439;15;20;25;29;43;10
440;16;17;21;22;43;3
441;16;28;37;42;43;9
442;18;20;21;35;43;5
443;19;20;24;34;43;5
444;20;22;25;37;43;8
445;21;23;26;37;43;11
446;22;34;36;37;43;12
447;26;29;39;42;43;4
448;27;31;32;42;43;1
